source,target,rep,ratio,baseline,standard,weighted
India,Jordan,0,0.05,0.31756756756756754,0.8918918918918919,0.9594594594594594
India,Jordan,0,0.1,0.7905405405405406,0.8378378378378378,0.8378378378378378
India,Jordan,0,0.2,0.8783783783783784,0.9594594594594594,0.9594594594594594
India,Jordan,1,0.05,0.5,0.8770491803278688,0.8770491803278688
India,Jordan,1,0.1,0.5819672131147541,0.8524590163934426,0.8524590163934426
India,Jordan,1,0.2,0.5983606557377049,0.8032786885245902,0.9508196721311475
India,Jordan,2,0.05,0.2222222222222222,0.3888888888888889,0.3333333333333333
India,Jordan,2,0.1,0.8611111111111112,0.6666666666666666,0.6666666666666666
India,Jordan,2,0.2,0.7777777777777778,0.5,0.5
India,Jordan,3,0.05,0.5,0.8983050847457628,0.8983050847457628
India,Jordan,3,0.1,0.1694915254237288,0.7711864406779662,0.7711864406779662
India,Jordan,3,0.2,0.7542372881355932,0.8898305084745762,0.9745762711864406
India,Jordan,4,0.05,0.22043010752688172,0.8172043010752689,0.8494623655913979
India,Jordan,4,0.1,0.23118279569892472,0.8387096774193549,0.8279569892473119
India,Jordan,4,0.2,0.7526881720430108,0.8709677419354839,0.8817204301075269
India,Jordan,5,0.05,0.4014084507042254,0.6619718309859155,0.6619718309859155
India,Jordan,5,0.1,0.5,0.9014084507042254,0.8732394366197183
India,Jordan,5,0.2,0.9084507042253521,0.9014084507042254,0.9154929577464789
India,Jordan,6,0.05,0.7666666666666667,0.9222222222222223,0.9222222222222223
India,Jordan,6,0.1,0.5444444444444444,0.9222222222222223,0.9333333333333333
India,Jordan,6,0.2,0.26666666666666666,0.8111111111111111,0.9
India,Jordan,7,0.05,0.9318181818181818,1.0,1.0
India,Jordan,7,0.1,1.0,1.0,1.0
India,Jordan,7,0.2,1.0,1.0,1.0
India,Jordan,8,0.05,0.6224489795918368,0.7142857142857143,0.7142857142857143
India,Jordan,8,0.1,0.7857142857142857,0.7755102040816326,0.7755102040816326
India,Jordan,8,0.2,0.8979591836734694,0.8775510204081632,0.7346938775510204
India,Jordan,9,0.05,0.6444444444444445,0.8722222222222222,0.8722222222222222
India,Jordan,9,0.1,0.7555555555555555,0.8722222222222222,0.8722222222222222
India,Jordan,9,0.2,0.7888888888888889,0.8722222222222222,0.8944444444444445
India,Jordan,10,0.05,0.6219512195121951,0.8048780487804879,0.8048780487804879
India,Jordan,10,0.1,0.35365853658536583,0.7073170731707317,0.7073170731707317
India,Jordan,10,0.2,0.7560975609756098,0.7804878048780488,0.7804878048780488
India,Jordan,11,0.05,0.717741935483871,0.9112903225806451,0.9112903225806451
India,Jordan,11,0.1,0.7741935483870968,0.9596774193548387,0.9596774193548387
India,Jordan,11,0.2,0.7983870967741935,0.9274193548387096,0.9354838709677419
India,Jordan,12,0.05,0.8947368421052632,0.9407894736842105,0.9407894736842105
India,Jordan,12,0.1,0.9078947368421053,0.875,0.875
India,Jordan,12,0.2,0.8289473684210527,0.8552631578947368,0.8552631578947368
India,Jordan,13,0.05,0.8666666666666667,0.9111111111111111,0.9111111111111111
India,Jordan,13,0.1,0.8555555555555555,0.8222222222222222,0.8444444444444444
India,Jordan,13,0.2,0.8444444444444444,1.0,1.0
India,Jordan,14,0.05,0.76,0.64,0.64
India,Jordan,14,0.1,0.74,0.72,0.72
India,Jordan,14,0.2,1.0,0.52,0.52
India,Jordan,15,0.05,0.6904761904761905,0.7619047619047619,0.746031746031746
India,Jordan,15,0.1,0.8095238095238095,0.7301587301587301,0.6984126984126984
India,Jordan,15,0.2,0.746031746031746,0.746031746031746,0.7301587301587301
India,Jordan,16,0.05,0.6904761904761905,0.7142857142857143,0.7142857142857143
India,Jordan,16,0.1,0.7380952380952381,0.7142857142857143,0.7380952380952381
India,Jordan,16,0.2,0.40476190476190477,0.6904761904761905,0.7857142857142857
India,Jordan,17,0.05,0.45161290322580644,0.8064516129032258,0.8064516129032258
India,Jordan,17,0.1,0.8387096774193549,0.8709677419354839,0.8709677419354839
India,Jordan,17,0.2,0.7419354838709677,0.6935483870967742,0.7419354838709677
India,Jordan,18,0.05,0.7,0.8666666666666667,0.8666666666666667
India,Jordan,18,0.1,0.26666666666666666,0.26666666666666666,0.26666666666666666
India,Jordan,18,0.2,0.48333333333333334,0.6666666666666666,0.7
India,Jordan,19,0.05,0.5,0.7176470588235294,0.7176470588235294
India,Jordan,19,0.1,0.7529411764705882,0.7647058823529411,0.7647058823529411
India,Jordan,19,0.2,0.7,0.7470588235294118,0.7470588235294118
India,Florida,0,0.05,0.592741935483871,0.6653225806451613,0.6774193548387096
India,Florida,0,0.1,0.5463709677419355,0.6854838709677419,0.6290322580645161
India,Florida,0,0.2,0.3911290322580645,0.5342741935483871,0.5483870967741935
India,Florida,1,0.05,0.41967871485943775,0.42771084337349397,0.45582329317269077
India,Florida,1,0.1,0.6124497991967871,0.4819277108433735,0.4919678714859438
India,Florida,1,0.2,0.4497991967871486,0.41767068273092367,0.4779116465863454
India,Florida,2,0.05,0.47155688622754494,0.4745508982035928,0.48353293413173654
India,Florida,2,0.1,0.5793413173652695,0.5553892215568862,0.5164670658682635
India,Florida,2,0.2,0.44011976047904194,0.47754491017964074,0.44011976047904194
India,Florida,3,0.05,0.6166666666666667,0.5925925925925926,0.5925925925925926
India,Florida,3,0.1,0.6092592592592593,0.5666666666666667,0.5925925925925926
India,Florida,3,0.2,0.562962962962963,0.45,0.4222222222222222
India,Florida,4,0.05,0.5,0.5787292817679558,0.5787292817679558
India,Florida,4,0.1,0.5082872928176796,0.5593922651933702,0.5345303867403315
India,Florida,4,0.2,0.3301104972375691,0.5151933701657458,0.5662983425414365
India,Florida,5,0.05,0.6277372262773723,0.6423357664233577,0.6204379562043796
India,Florida,5,0.1,0.791970802919708,0.6861313868613139,0.6423357664233577
India,Florida,5,0.2,0.5437956204379562,0.3284671532846715,0.30656934306569344
India,Florida,6,0.05,0.5523255813953488,0.36627906976744184,0.36627906976744184
India,Florida,6,0.1,0.6947674418604651,0.438953488372093,0.438953488372093
India,Florida,6,0.2,0.6686046511627907,0.5058139534883721,0.5465116279069767
India,Florida,7,0.05,0.5163934426229508,0.4781420765027322,0.40710382513661203
India,Florida,7,0.1,0.6939890710382514,0.6284153005464481,0.5519125683060109
India,Florida,7,0.2,0.6502732240437158,0.6775956284153005,0.7158469945355191
India,Florida,8,0.05,0.7364864864864865,0.6261261261261262,0.536036036036036
India,Florida,8,0.1,0.7072072072072072,0.6216216216216216,0.6126126126126126
India,Florida,8,0.2,0.5653153153153153,0.5855855855855856,0.6171171171171171
India,Florida,9,0.05,0.5047770700636943,0.3662420382165605,0.45222929936305734
India,Florida,9,0.1,0.6544585987261147,0.4156050955414013,0.30254777070063693
India,Florida,9,0.2,0.6162420382165605,0.40764331210191085,0.43789808917197454
India,Florida,10,0.05,0.6076158940397351,0.40728476821192056,0.40397350993377484
India,Florida,10,0.1,0.6125827814569537,0.36920529801324503,0.36920529801324503
India,Florida,10,0.2,0.46192052980132453,0.38079470198675497,0.31456953642384106
India,Florida,11,0.05,0.4939467312348668,0.39709443099273606,0.39709443099273606
India,Florida,11,0.1,0.5447941888619855,0.4322033898305085,0.437046004842615
India,Florida,11,0.2,0.6537530266343826,0.46731234866828086,0.46246973365617433
India,Florida,12,0.05,0.5082508250825083,0.5,0.4933993399339934
India,Florida,12,0.1,0.5,0.5891089108910891,0.4900990099009901
India,Florida,12,0.2,0.6584158415841584,0.6633663366336634,0.7343234323432343
India,Florida,13,0.05,0.5862068965517241,0.3994252873563218,0.39655172413793105
India,Florida,13,0.1,0.6767241379310345,0.5201149425287356,0.4956896551724138
India,Florida,13,0.2,0.7097701149425287,0.6120689655172413,0.6135057471264368
India,Florida,14,0.05,0.6116504854368932,0.6051779935275081,0.6019417475728155
India,Florida,14,0.1,0.5,0.6699029126213593,0.6343042071197411
India,Florida,14,0.2,0.580906148867314,0.6585760517799353,0.6326860841423948
India,Florida,15,0.05,0.6331269349845201,0.38544891640866874,0.3018575851393189
India,Florida,15,0.1,0.6145510835913313,0.369969040247678,0.3204334365325077
India,Florida,15,0.2,0.3978328173374613,0.34210526315789475,0.34520123839009287
India,Florida,16,0.05,0.38976377952755903,0.30708661417322836,0.2992125984251969
India,Florida,16,0.1,0.4704724409448819,0.2854330708661417,0.42913385826771655
