,,,baseline,baseline,standard,standard,weighted,weighted
,,,mean,std,mean,std,mean,std
source,target,ratio,,,,,,
California,Florida,0.05,0.565,0.1,0.526,0.124,0.514,0.129
California,Florida,0.1,0.616,0.094,0.549,0.116,0.545,0.117
California,Florida,0.2,0.554,0.121,0.538,0.104,0.558,0.118
California,India,0.05,0.741,0.019,0.736,0.014,0.74,0.017
California,India,0.1,0.759,0.013,0.75,0.011,0.75,0.013
California,India,0.2,0.77,0.014,0.756,0.012,0.756,0.014
California,Jordan,0.05,0.601,0.208,0.844,0.08,0.845,0.081
California,Jordan,0.1,0.663,0.241,0.849,0.11,0.846,0.082
California,Jordan,0.2,0.746,0.186,0.834,0.11,0.832,0.109
Florida,California,0.05,0.622,0.173,0.598,0.189,0.616,0.185
Florida,California,0.1,0.611,0.135,0.608,0.151,0.629,0.157
Florida,California,0.2,0.613,0.158,0.584,0.144,0.616,0.15
Florida,India,0.05,0.741,0.019,0.722,0.021,0.737,0.022
Florida,India,0.1,0.759,0.013,0.738,0.018,0.75,0.015
Florida,India,0.2,0.77,0.014,0.746,0.017,0.758,0.015
Florida,Jordan,0.05,0.601,0.208,0.629,0.227,0.656,0.215
Florida,Jordan,0.1,0.663,0.241,0.689,0.219,0.67,0.213
Florida,Jordan,0.2,0.746,0.186,0.722,0.206,0.706,0.176
India,California,0.05,0.622,0.173,0.821,0.081,0.827,0.072
India,California,0.1,0.611,0.135,0.82,0.056,0.811,0.056
India,California,0.2,0.613,0.158,0.826,0.056,0.816,0.062
India,Florida,0.05,0.565,0.1,0.504,0.121,0.488,0.117
India,Florida,0.1,0.616,0.094,0.533,0.125,0.509,0.112
India,Florida,0.2,0.554,0.121,0.502,0.12,0.514,0.136
India,Jordan,0.05,0.601,0.208,0.806,0.139,0.807,0.152
India,Jordan,0.1,0.663,0.241,0.793,0.153,0.793,0.153
India,Jordan,0.2,0.746,0.186,0.806,0.14,0.825,0.145
Jordan,California,0.05,0.622,0.173,0.67,0.136,0.672,0.144
Jordan,California,0.1,0.611,0.135,0.692,0.12,0.691,0.121
Jordan,California,0.2,0.613,0.158,0.665,0.119,0.705,0.11
Jordan,Florida,0.05,0.565,0.1,0.522,0.134,0.518,0.139
Jordan,Florida,0.1,0.616,0.094,0.562,0.153,0.556,0.14
Jordan,Florida,0.2,0.554,0.121,0.526,0.108,0.531,0.113
Jordan,India,0.05,0.741,0.019,0.719,0.018,0.724,0.021
Jordan,India,0.1,0.759,0.013,0.732,0.015,0.737,0.012
Jordan,India,0.2,0.77,0.014,0.743,0.016,0.743,0.014
