source,target,ratio,p_base_vs_std,p_base_vs_wt,p_std_vs_wt
California,Florida,0.05,0.2455,0.1231,0.4955
California,Florida,0.1,0.0192,0.0121,0.6791
California,Florida,0.2,0.3341,0.9854,0.1221
California,India,0.05,0.1231,0.5217,0.1054
California,India,0.1,0.0,0.0007,0.8124
California,India,0.2,0.0,0.0,0.7012
California,Jordan,0.05,0.0,0.0,0.6547
California,Jordan,0.1,0.0005,0.0025,0.3441
California,Jordan,0.2,0.0176,0.0279,0.9165
Florida,California,0.05,0.2943,0.7562,0.4328
Florida,California,0.1,0.8695,0.5706,0.0973
Florida,California,0.2,0.1893,0.7285,0.4091
Florida,India,0.05,0.0,0.0826,0.002
Florida,India,0.1,0.0,0.0017,0.0
Florida,India,0.2,0.0,0.0,0.0
Florida,Jordan,0.05,0.2611,0.2598,0.4008
Florida,Jordan,0.1,0.4688,0.7022,0.3454
Florida,Jordan,0.2,0.4074,0.4524,0.8261
India,California,0.05,0.0,0.0,0.6092
India,California,0.1,0.0,0.0,0.1054
India,California,0.2,0.0,0.0,0.1327
India,Florida,0.05,0.0136,0.0032,0.1208
India,Florida,0.1,0.0121,0.0012,0.0311
India,Florida,0.2,0.0532,0.1165,0.2611
India,Jordan,0.05,0.0,0.0,0.715
India,Jordan,0.1,0.0582,0.0352,0.7532
India,Jordan,0.2,0.0526,0.0707,0.0597
Jordan,California,0.05,0.0696,0.0266,0.796
Jordan,California,0.1,0.0215,0.04,0.498
Jordan,California,0.2,0.114,0.0056,0.1231
Jordan,Florida,0.05,0.1769,0.1769,0.5936
Jordan,Florida,0.1,0.2774,0.1327,0.3144
Jordan,Florida,0.2,0.0759,0.3118,0.8983
Jordan,India,0.05,0.0,0.0001,0.2611
Jordan,India,0.1,0.0,0.0,0.0215
Jordan,India,0.2,0.0,0.0,0.7012
